benchmark,set_size,recurring_pct,run,pid_threshold,n_recurring_expected,n_after_filter,t_total_ms,t_link_ms,t_decrypt_ms,t_per_input_cft_ms,t_ngo_ms,t_judge_ms,t_police_ms
direct-decrypt,10,10,1,1,1,10,241.993595,0,241.993595,24.1993595,78.897895,79.58786,83.50784
direct-decrypt,10,10,2,1,1,10,240.717627,0,240.717627,24.0717627,78.802262,78.431734,83.483631
direct-decrypt,10,10,3,1,1,10,239.058989,0,239.058989,23.9058989,78.085216,78.098636,82.875137
direct-decrypt,10,10,4,1,1,10,239.619169,0,239.619169,23.9619169,77.669209,78.896649,83.053311
direct-decrypt,10,10,5,1,1,10,239.694517,0,239.694517,23.9694517,78.239341,78.640097,82.815079
direct-decrypt,10,10,6,1,1,10,240.188606,0,240.188606,24.0188606,79.000373,78.369593,82.81864
direct-decrypt,10,10,7,1,1,10,240.602823,0,240.602823,24.0602823,79.303813,78.494159,82.804851
direct-decrypt,10,10,8,1,1,10,238.723457,0,238.723457,23.8723457,78.181331,77.567302,82.974824
direct-decrypt,10,10,9,1,1,10,239.97781,0,239.97781,23.997781,78.480494,78.557891,82.939425
direct-decrypt,10,10,10,1,1,10,239.876063,0,239.876063,23.9876063,78.372157,78.132377,83.371529
direct-decrypt,10,20,1,1,2,10,240.695938,0,240.695938,24.0695938,78.552663,78.64687,83.496405
direct-decrypt,10,20,2,1,2,10,238.747227,0,238.747227,23.8747227,78.108826,77.801066,82.837335
direct-decrypt,10,20,3,1,2,10,240.38939,0,240.38939,24.038939,78.575512,78.333859,83.480019
direct-decrypt,10,20,4,1,2,10,238.965861,0,238.965861,23.8965861,78.175943,77.868512,82.921406
direct-decrypt,10,20,5,1,2,10,239.704606,0,239.704606,23.970460600000003,78.165971,78.492841,83.045794
direct-decrypt,10,20,6,1,2,10,240.115974,0,240.115974,24.0115974,78.90887,78.592589,82.614515
direct-decrypt,10,20,7,1,2,10,239.689937,0,239.689937,23.9689937,78.454932,78.471105,82.7639
direct-decrypt,10,20,8,1,2,10,240.177608,0,240.177608,24.017760799999998,78.591172,78.591633,82.994803
direct-decrypt,10,20,9,1,2,10,239.68948,0,239.68948,23.968948,78.373518,78.088646,83.227316
direct-decrypt,10,20,10,1,2,10,239.999833,0,239.999833,23.9999833,78.467868,78.36779,83.164175
direct-decrypt,10,50,1,1,5,10,239.582894,0,239.582894,23.9582894,78.095488,78.253943,83.233463
direct-decrypt,10,50,2,1,5,10,239.601855,0,239.601855,23.9601855,78.471557,78.062727,83.067571
direct-decrypt,10,50,3,1,5,10,239.715643,0,239.715643,23.9715643,78.077467,78.437258,83.200918
direct-decrypt,10,50,4,1,5,10,239.7557,0,239.7557,23.975569999999998,78.422059,78.107052,83.226589
direct-decrypt,10,50,5,1,5,10,239.29483,0,239.29483,23.929482999999998,78.515254,78.23232,82.547256
direct-decrypt,10,50,6,1,5,10,240.621887,0,240.621887,24.0621887,78.66408,78.580302,83.377505
direct-decrypt,10,50,7,1,5,10,240.546309,0,240.546309,24.0546309,78.503099,78.47197,83.57124
direct-decrypt,10,50,8,1,5,10,239.901145,0,239.901145,23.9901145,78.0532,78.293224,83.554721
direct-decrypt,10,50,9,1,5,10,240.279989,0,240.279989,24.0279989,79.06219,78.545702,82.672097
direct-decrypt,10,50,10,1,5,10,239.908907,0,239.908907,23.9908907,78.661399,78.398005,82.849503
direct-decrypt,20,10,1,2,2,20,482.148589,0,482.148589,24.10742945,158.151793,157.520726,166.47607
direct-decrypt,20,10,2,2,2,20,479.03021,0,479.03021,23.9515105,156.933808,156.610325,165.486077
direct-decrypt,20,10,3,2,2,20,481.461621,0,481.461621,24.07308105,157.35832,157.962906,166.140395
direct-decrypt,20,10,4,2,2,20,480.269322,0,480.269322,24.0134661,157.10875,157.041629,166.118943
direct-decrypt,20,10,5,2,2,20,479.012217,0,479.012217,23.95061085,156.304138,157.048123,165.659956
direct-decrypt,20,10,6,2,2,20,480.677812,0,480.677812,24.0338906,157.856756,156.904834,165.916222
direct-decrypt,20,10,7,2,2,20,480.549904,0,480.549904,24.0274952,157.565546,157.307821,165.676537
direct-decrypt,20,10,8,2,2,20,478.177536,0,478.177536,23.908876799999998,155.989876,157.073757,165.113903
direct-decrypt,20,10,9,2,2,20,482.514901,0,482.514901,24.12574505,157.897621,158.038168,166.579112
direct-decrypt,20,10,10,2,2,20,481.561686,0,481.561686,24.0780843,157.050826,157.486884,167.023976
direct-decrypt,20,20,1,2,4,20,480.661397,0,480.661397,24.03306985,157.15309,157.372189,166.136118
direct-decrypt,20,20,2,2,4,20,480.488499,0,480.488499,24.02442495,157.100302,157.306054,166.082143
direct-decrypt,20,20,3,2,4,20,478.646023,0,478.646023,23.93230115,156.305343,157.021673,165.319007
direct-decrypt,20,20,4,2,4,20,479.405174,0,479.405174,23.9702587,156.220342,157.168507,166.016325
direct-decrypt,20,20,5,2,4,20,480.334037,0,480.334037,24.01670185,158.116257,156.810926,165.406854
direct-decrypt,20,20,6,2,4,20,480.381724,0,480.381724,24.0190862,157.784533,156.880537,165.716654
direct-decrypt,20,20,7,2,4,20,481.368552,0,481.368552,24.0684276,157.523746,158.02028,165.824526
direct-decrypt,20,20,8,2,4,20,483.149743,0,483.149743,24.15748715,156.985659,159.35439,166.809694
direct-decrypt,20,20,9,2,4,20,480.747759,0,480.747759,24.03738795,157.661031,157.385992,165.700736
direct-decrypt,20,20,10,2,4,20,482.728199,0,482.728199,24.13640995,158.12493,158.586524,166.016745
direct-decrypt,20,50,1,2,10,20,480.69084,0,480.69084,24.034542,157.516318,156.851427,166.323095
direct-decrypt,20,50,2,2,10,20,482.367383,0,482.367383,24.11836915,158.028233,158.25988,166.07927
direct-decrypt,20,50,3,2,10,20,481.660627,0,481.660627,24.08303135,157.609815,157.294448,166.756364
direct-decrypt,20,50,4,2,10,20,479.039074,0,479.039074,23.9519537,155.925998,157.071496,166.04158
direct-decrypt,20,50,5,2,10,20,480.446713,0,480.446713,24.02233565,157.0767,157.344556,166.025457
direct-decrypt,20,50,6,2,10,20,478.220103,0,478.220103,23.91100515,156.128348,157.129403,164.962352
direct-decrypt,20,50,7,2,10,20,481.271398,0,481.271398,24.063569899999997,157.326218,157.835022,166.110158
direct-decrypt,20,50,8,2,10,20,481.017335,0,481.017335,24.05086675,157.685444,157.647783,165.684108
direct-decrypt,20,50,9,2,10,20,480.945411,0,480.945411,24.04727055,157.583412,157.068276,166.293723
direct-decrypt,20,50,10,2,10,20,479.297616,0,479.297616,23.9648808,156.924124,156.397257,165.976235
direct-decrypt,50,10,1,5,5,50,1201.184802,0,1201.184802,24.02369604,393.343699,392.930557,414.910546
direct-decrypt,50,10,2,5,5,50,1201.254578,0,1201.254578,24.02509156,394.082243,393.005621,414.166714
direct-decrypt,50,10,3,5,5,50,1200.390753,0,1200.390753,24.00781506,390.59036,393.767619,416.032774
direct-decrypt,50,10,4,5,5,50,1205.741708,0,1205.741708,24.11483416,395.13829,396.353522,414.249896
direct-decrypt,50,10,5,5,5,50,1199.346544,0,1199.346544,23.98693088,392.998748,392.429764,413.918032
direct-decrypt,50,10,6,5,5,50,1202.300462,0,1202.300462,24.04600924,393.09071,393.97369,415.236062
direct-decrypt,50,10,7,5,5,50,1201.533879,0,1201.533879,24.030677580000003,394.345819,393.578556,413.609504
direct-decrypt,50,10,8,5,5,50,1203.762726,0,1203.762726,24.075254519999998,394.443266,393.54578,415.77368
direct-decrypt,50,10,9,5,5,50,1204.413419,0,1204.413419,24.08826838,394.844708,393.000047,416.568664
direct-decrypt,50,10,10,5,5,50,1200.11798,0,1200.11798,24.0023596,394.442517,391.332768,414.342695
direct-decrypt,50,20,1,5,10,50,1201.465565,0,1201.465565,24.0293113,391.806022,394.786972,414.872571
direct-decrypt,50,20,2,5,10,50,1202.374272,0,1202.374272,24.04748544,393.540064,393.413519,415.420689
