benchmark,set_size,recurring_pct,runs,pid_threshold,n_after_filter_mean,t_total_mean_ms,t_total_std_ms,t_link_mean_ms,t_decrypt_mean_ms,t_per_input_cft_mean_ms
direct-decrypt,10,10,10,1,10,240.045,0.874,0.000,240.045,24.0045
direct-decrypt,10,20,10,1,10,239.818,0.572,0.000,239.818,23.9818
direct-decrypt,10,50,10,1,10,239.921,0.411,0.000,239.921,23.9921
direct-decrypt,20,10,10,2,20,480.540,1.366,0.000,480.540,24.0270
direct-decrypt,20,20,10,2,20,480.791,1.291,0.000,480.791,24.0396
direct-decrypt,20,50,10,2,20,480.496,1.213,0.000,480.496,24.0248
direct-decrypt,50,10,10,5,50,1202.005,1.940,0.000,1202.005,24.0401
direct-decrypt,50,20,10,5,50,1201.704,1.421,0.000,1201.704,24.0341
direct-decrypt,50,50,10,5,50,1201.367,2.183,0.000,1201.367,24.0273
direct-decrypt,100,10,10,10,100,2408.169,4.414,0.000,2408.169,24.0817
direct-decrypt,100,20,10,10,100,2406.185,4.915,0.000,2406.185,24.0618
direct-decrypt,100,50,10,10,100,2409.687,12.823,0.000,2409.687,24.0969
direct-decrypt,500,10,10,50,500,12023.750,38.866,0.000,12023.750,24.0475
direct-decrypt,500,20,10,50,500,12028.592,24.948,0.000,12028.592,24.0572
direct-decrypt,500,50,10,50,500,12043.157,72.323,0.000,12043.157,24.0863
direct-decrypt,1000,10,10,100,1000,24020.758,30.729,0.000,24020.758,24.0208
direct-decrypt,1000,20,10,100,1000,24042.011,57.322,0.000,24042.011,24.0420
direct-decrypt,1000,50,10,100,1000,24042.978,59.713,0.000,24042.978,24.0430
direct-decrypt,2000,10,10,200,2000,48123.481,142.073,0.000,48123.481,24.0617
direct-decrypt,2000,20,10,200,2000,48083.528,62.962,0.000,48083.528,24.0418
direct-decrypt,2000,50,10,200,2000,48075.041,75.139,0.000,48075.041,24.0375
direct-decrypt,4000,10,10,400,4000,96301.076,238.581,0.000,96301.076,24.0753
direct-decrypt,4000,20,10,400,4000,96246.643,131.005,0.000,96246.643,24.0617
direct-decrypt,4000,50,10,400,4000,96239.293,67.600,0.000,96239.293,24.0598
direct-decrypt,8000,10,10,800,8000,192516.232,278.770,0.000,192516.232,24.0645
direct-decrypt,8000,20,10,800,8000,192685.517,225.830,0.000,192685.517,24.0857
direct-decrypt,8000,50,10,800,8000,192809.087,544.686,0.000,192809.087,24.1011
