benchmark,set_size,recurring_pct,run,pid_threshold,n_recurring_expected,n_after_filter,t_total_ms,t_link_ms,t_decrypt_ms,t_per_input_cft_ms,t_ngo_ms,t_judge_ms,t_police_ms
link-decrypt,10,10,1,2,2,2,273.100598,230.609476,42.491122,27.310059799999998,87.26791,87.641138,97.963201
link-decrypt,10,10,2,2,2,2,271.253731,228.926737,42.326994,27.1253731,87.090111,86.637064,97.421187
link-decrypt,10,10,3,2,2,2,271.998515,229.887481,42.111034,27.1998515,86.732492,86.750624,98.434059
link-decrypt,10,10,4,2,2,2,272.044915,229.789312,42.255603,27.2044915,86.381936,87.148349,98.44852
link-decrypt,10,10,5,2,2,2,270.443585,228.47777,41.965815,27.044358499999998,86.383995,86.457755,97.535685
link-decrypt,10,10,6,2,2,2,271.825486,229.9449,41.880586,27.1825486,86.822822,87.279841,97.653414
link-decrypt,10,10,7,2,2,2,271.364459,229.284935,42.079524,27.136445900000002,86.691032,87.183809,97.413167
link-decrypt,10,10,8,2,2,2,270.824631,228.853326,41.971305,27.082463100000002,86.883203,86.285626,97.572573
link-decrypt,10,10,9,2,2,2,270.627915,228.797978,41.829937,27.062791499999996,86.462755,86.558805,97.537725
link-decrypt,10,10,10,2,2,2,271.560406,229.542392,42.018014,27.1560406,86.550114,86.700312,98.24586
link-decrypt,10,50,1,2,5,5,334.771387,230.155297,104.61609,33.4771387,101.854018,102.562392,130.287098
link-decrypt,10,50,2,2,5,5,333.845562,229.092644,104.752918,33.3845562,102.090215,101.823968,129.866569
link-decrypt,10,50,3,2,5,5,333.664675,229.644821,104.019854,33.3664675,101.911307,101.983716,129.704833
link-decrypt,10,50,4,2,5,5,334.723337,229.816029,104.907308,33.4723337,103.148789,101.613399,129.89507
link-decrypt,10,50,5,2,5,5,334.290739,230.151057,104.139682,33.4290739,101.933437,102.236384,130.054959
link-decrypt,10,50,6,2,5,5,334.497287,229.377071,105.120216,33.449728699999994,102.863841,101.546018,130.005839
link-decrypt,10,50,7,2,5,5,332.875198,227.931681,104.943517,33.2875198,101.502929,101.934887,129.368822
link-decrypt,10,50,8,2,5,5,339.396736,230.181106,109.21563,33.9396736,102.772462,101.859745,134.69857
link-decrypt,10,50,9,2,5,5,332.072352,228.116439,103.955913,33.2072352,101.177391,101.778178,129.050754
link-decrypt,10,50,10,2,5,5,335.757888,230.793371,104.964517,33.5757888,102.420852,102.797303,130.473054
link-decrypt,20,10,1,2,2,2,498.544829,456.839294,41.705535,24.92724145,162.751722,162.742372,172.912296
link-decrypt,20,10,2,2,2,2,498.38492,456.748593,41.636327,24.919246,162.424523,162.339134,173.510054
link-decrypt,20,10,3,2,2,2,500.748235,459.027248,41.720987,25.03741175,164.709549,162.435992,173.490295
link-decrypt,20,10,4,2,2,2,500.194687,458.248282,41.946405,25.00973435,163.366697,164.035593,172.690818
link-decrypt,20,10,5,2,2,2,497.130795,455.44406,41.686735,24.85653975,162.60339,161.623977,172.797657
link-decrypt,20,10,6,2,2,2,497.910821,456.051636,41.859185,24.89554105,161.627647,161.925026,174.237528
link-decrypt,20,10,7,2,2,2,501.606428,459.568744,42.037684,25.0803214,163.035769,162.459062,176.003858
link-decrypt,20,10,8,2,2,2,496.784767,455.320429,41.464338,24.83923835,161.356319,162.83944,172.481508
link-decrypt,20,10,9,2,2,2,497.162673,455.600266,41.562407,24.85813365,162.258594,161.958484,172.843126
link-decrypt,20,10,10,2,2,2,496.532105,455.212897,41.319208,24.82660525,161.636637,161.928394,172.864205
link-decrypt,20,50,1,2,10,10,663.2202,455.475146,207.745054,33.16101,203.596521,202.573366,256.948704
link-decrypt,20,50,2,2,10,10,676.912992,468.324634,208.588358,33.8456496,203.916277,214.487733,258.401752
link-decrypt,20,50,3,2,10,10,664.698309,456.161669,208.53664,33.23491545,203.167102,203.034014,258.372064
link-decrypt,20,50,4,2,10,10,662.082614,455.002296,207.080318,33.1041307,202.148388,202.600827,257.225269
link-decrypt,20,50,5,2,10,10,661.750395,454.481519,207.268876,33.08751975,202.544545,202.353318,256.735292
link-decrypt,20,50,6,2,10,10,663.921611,456.363746,207.557865,33.19608055,202.200418,204.028806,257.590858
link-decrypt,20,50,7,2,10,10,662.27782,455.120914,207.156906,33.113891,202.875434,202.690335,256.612442
link-decrypt,20,50,8,2,10,10,666.763741,458.308554,208.455187,33.33818705,203.166851,205.1023,258.39189
link-decrypt,20,50,9,2,10,10,659.681215,453.049866,206.631349,32.98406075,201.605602,201.697999,256.270295
link-decrypt,20,50,10,2,10,10,660.774997,453.795671,206.979326,33.03874985,201.836017,202.326637,256.506582
link-decrypt,50,10,1,5,5,5,1235.969604,1131.964944,104.00466,24.71939208,402.582054,402.894571,430.26812
link-decrypt,50,10,2,5,5,5,1236.00619,1132.643897,103.362293,24.7201238,403.332868,402.541633,429.91132
link-decrypt,50,10,3,5,5,5,1250.535302,1147.10176,103.433542,25.01070604,415.794887,402.867969,431.636927
link-decrypt,50,10,4,5,5,5,1238.792073,1135.062294,103.729779,24.775841460000002,406.083157,402.284171,430.194595
