benchmark,set_size,recurring_pct,runs,pid_threshold,n_after_filter_mean,t_total_mean_ms,t_total_std_ms,t_link_mean_ms,t_decrypt_mean_ms,t_per_input_cft_mean_ms
link-decrypt,10,10,10,2,2,405.706,1.291,356.820,48.885,40.5706
link-decrypt,10,20,10,2,2,404.499,1.078,355.933,48.566,40.4499
link-decrypt,10,50,10,2,5,478.264,1.266,356.606,121.658,47.8264
link-decrypt,20,10,10,2,2,761.157,1.751,712.332,48.825,38.0579
link-decrypt,20,20,10,2,4,808.453,1.753,711.459,96.994,40.4227
link-decrypt,20,50,10,2,10,953.822,1.708,711.308,242.514,47.6911
link-decrypt,50,10,10,5,5,1898.171,4.026,1777.002,121.169,37.9634
link-decrypt,50,20,10,5,10,2017.389,4.092,1775.418,241.970,40.3478
link-decrypt,50,50,10,5,25,2378.209,2.926,1773.249,604.961,47.5642
link-decrypt,100,10,10,10,10,3734.313,14.190,3495.014,239.299,37.3431
link-decrypt,100,20,10,10,20,3975.713,29.823,3500.051,475.663,39.7571
link-decrypt,100,50,10,10,50,4678.841,10.878,3487.732,1191.108,46.7884
link-decrypt,500,10,10,50,50,18698.666,47.691,17508.749,1189.917,37.3973
link-decrypt,500,20,10,50,100,19841.797,58.631,17465.444,2376.353,39.6836
link-decrypt,500,50,10,50,250,23428.911,66.679,17468.820,5960.091,46.8578
link-decrypt,1000,10,10,100,100,37402.434,105.344,35028.326,2374.108,37.4024
link-decrypt,1000,20,10,100,200,39786.290,285.073,35033.634,4752.656,39.7863
link-decrypt,1000,50,10,100,500,46920.778,77.172,35014.789,11905.989,46.9208
link-decrypt,2000,10,10,200,200,74736.295,102.519,69987.381,4748.914,37.3681
link-decrypt,2000,20,10,200,400,79488.187,174.039,69966.434,9521.753,39.7441
link-decrypt,2000,50,10,200,1000,93946.220,464.101,70175.323,23770.898,46.9731
link-decrypt,4000,10,10,400,400,149429.151,229.384,139907.583,9521.568,37.3573
link-decrypt,4000,20,10,400,800,159117.992,570.123,140081.573,19036.419,39.7795
link-decrypt,4000,50,10,400,2000,187745.093,1029.751,139887.853,47857.240,46.9363
link-decrypt,8000,10,10,800,800,299329.017,358.242,280215.606,19113.412,37.4161
link-decrypt,8000,20,10,800,1600,318355.540,944.842,280268.907,38086.634,39.7944
link-decrypt,8000,50,10,800,4000,375736.794,709.879,280512.315,95224.479,46.9671
