ts,variant,topology,use_dkg,n_ids,n_records,tau,threshold,n_parties,correct,n_above_tau_ground_truth,n_unique_ids_revealed,n_reveal_rounds,n_pets,n_pairs,mean_pet_ms,pet_phase_ms,spdz_wall_ms,spdz_process_ms,spdz_reported_ms,reveal_phase_ms,total_protocol_ms,te_add_us,te_add_ops_total,te_add_extrapolated_ms,ideal_estimate_total_ms,bytes_total,bytes_coord_to_parties,bytes_parties_to_coord,pct_ids
2026-05-16T09:06:21.445Z,C-spdz-te-estimate,coord,false,4,20,4,3,3,true,3,3,17,190,190,107.40915171578949,20417.776221,566.351993,183.468596,,1170.358502,22157.635545,,380,,,708189,358101,350088,20
2026-05-16T09:06:43.888Z,C-spdz-te-estimate,coord,false,4,20,4,3,3,true,3,3,17,190,190,100.06106254736838,19022.055208,178.967012,174.465123,,1213.054082,20416.151571,,380,,,708203,358133,350070,20
2026-05-16T09:07:05.542Z,C-spdz-te-estimate,coord,false,4,20,4,3,3,true,3,3,17,190,190,95.91263634210527,18234.138866,191.88715,186.182642,,1180.409956,19607.345771,,380,,,708244,358126,350118,20
2026-05-16T09:07:29.498Z,C-spdz-te-estimate,coord,false,6,20,4,3,3,true,2,2,11,190,190,110.15789588947368,20940.259317,187.747799,184.470412,,752.159785,21880.994529,,380,,,700204,354043,346161,30
2026-05-16T09:07:52.134Z,C-spdz-te-estimate,coord,false,6,20,4,3,3,true,2,2,10,190,190,103.33674513684214,19643.989125,193.00953,189.832474,,694.854499,20532.754273,,380,,,698825,353369,345456,30
2026-05-16T09:08:16.133Z,C-spdz-te-estimate,coord,false,6,20,4,3,3,true,2,2,11,190,190,110.20273973684209,20948.342587,191.785397,188.573492,,766.344833,21907.355135,,380,,,700294,354043,346251,30
2026-05-16T09:08:38.993Z,C-spdz-te-estimate,coord,false,8,20,4,3,3,true,2,2,8,190,190,105.08288441578941,19975.920518,194.177976,190.903861,,560.021222,20731.003603,,380,,,696211,352015,344196,40
2026-05-16T09:09:00.196Z,C-spdz-te-estimate,coord,false,8,20,4,3,3,true,1,1,6,190,190,97.06175870000001,18451.353718,190.517971,187.259706,,419.154816,19061.940542,,380,,,693641,350594,343047,40
2026-05-16T09:09:23.636Z,C-spdz-te-estimate,coord,false,8,20,4,3,3,true,2,2,8,190,190,108.12810056315796,20555.164905,189.082672,185.826788,,555.776149,21300.805142,,380,,,696286,351994,344292,40
2026-05-16T09:09:46.527Z,C-spdz-te-estimate,coord,false,10,20,4,3,3,true,1,1,4,190,190,106.70220433157894,20283.681005,197.327627,193.582839,,279.055955,20761.128136,,380,,,690881,349286,341595,50
2026-05-16T09:10:06.606Z,C-spdz-te-estimate,coord,false,10,20,4,3,3,true,1,1,6,190,190,91.12497268947371,17323.782332,169.403901,165.409142,,437.908666,17931.945224,,380,,,693574,350662,342912,50
2026-05-16T09:10:28.167Z,C-spdz-te-estimate,coord,false,10,20,4,3,3,true,2,2,10,190,190,98.23987035263164,18675.944343,185.520926,182.451985,,690.160222,19552.503468,,380,,,698909,353414,345495,50
