benchmark,set_size,recurring_pct,run,pid_threshold,n_recurring_expected,n_after_filter,t_total_ms,t_link_ms,t_decrypt_ms,t_per_input_cft_ms,t_ngo_ms,t_judge_ms,t_police_ms
mpc-decrypt,10,,1,,,10,593.177,0,593.177,59.3177,,,
mpc-decrypt,10,,2,,,10,579.789,0,579.789,57.9789,,,
mpc-decrypt,10,,3,,,10,594.453,0,594.453,59.4453,,,
mpc-decrypt,10,,4,,,10,563.532,0,563.532,56.3532,,,
mpc-decrypt,10,,5,,,10,565.493,0,565.493,56.5493,,,
mpc-decrypt,10,,6,,,10,578.86,0,578.86,57.886,,,
mpc-decrypt,10,,7,,,10,571.266,0,571.266,57.1266,,,
mpc-decrypt,10,,8,,,10,577.323,0,577.323,57.7323,,,
mpc-decrypt,10,,9,,,10,575.884,0,575.884,57.5884,,,
mpc-decrypt,10,,10,,,10,572.148,0,572.148,57.2148,,,
mpc-decrypt,20,,1,,,20,1813.717,0,1813.717,90.68585,,,
mpc-decrypt,20,,2,,,20,1802.287,0,1802.287,90.11435,,,
mpc-decrypt,20,,3,,,20,1798.07,0,1798.07,89.9035,,,
mpc-decrypt,20,,4,,,20,1802.208,0,1802.208,90.1104,,,
mpc-decrypt,20,,5,,,20,1789.205,0,1789.205,89.46025,,,
mpc-decrypt,20,,6,,,20,1796.786,0,1796.786,89.8393,,,
mpc-decrypt,20,,7,,,20,1787.809,0,1787.809,89.39045,,,
mpc-decrypt,20,,8,,,20,1800.758,0,1800.758,90.0379,,,
mpc-decrypt,20,,9,,,20,1783.339,0,1783.339,89.16695,,,
mpc-decrypt,20,,10,,,20,1809.846,0,1809.846,90.4923,,,
mpc-decrypt,50,,1,,,50,10424.827,0,10424.827,208.49654,,,
mpc-decrypt,50,,2,,,50,10533.285,0,10533.285,210.6657,,,
mpc-decrypt,50,,3,,,50,10587.254,0,10587.254,211.74508,,,
mpc-decrypt,50,,4,,,50,10485.783,0,10485.783,209.71566,,,
mpc-decrypt,50,,5,,,50,10352.317,0,10352.317,207.04634,,,
mpc-decrypt,50,,6,,,50,10476.464,0,10476.464,209.52928,,,
mpc-decrypt,50,,7,,,50,10435.153,0,10435.153,208.70306,,,
mpc-decrypt,50,,8,,,50,10481.203,0,10481.203,209.62406,,,
mpc-decrypt,50,,9,,,50,10424.869,0,10424.869,208.49738,,,
mpc-decrypt,50,,10,,,50,10538.259,0,10538.259,210.76518,,,
mpc-decrypt,100,,1,,,100,40748.936,0,40748.936,407.48936,,,
mpc-decrypt,100,,2,,,100,41016.842,0,41016.842,410.16842,,,
mpc-decrypt,100,,3,,,100,41019.153,0,41019.153,410.19153,,,
mpc-decrypt,100,,4,,,100,40784.448,0,40784.448,407.84448,,,
mpc-decrypt,100,,5,,,100,40583.156,0,40583.156,405.83156,,,
mpc-decrypt,100,,6,,,100,40588.892,0,40588.892,405.88892,,,
mpc-decrypt,100,,7,,,100,40736.981,0,40736.981,407.36981,,,
mpc-decrypt,100,,8,,,100,40736.457,0,40736.457,407.36457,,,
mpc-decrypt,100,,9,,,100,40809.274,0,40809.274,408.09274,,,
mpc-decrypt,100,,10,,,100,40503.699,0,40503.699,405.03699,,,
mpc-decrypt,200,,1,,,200,161552.233,0,161552.233,807.761165,,,
mpc-decrypt,200,,2,,,200,162315.154,0,162315.154,811.57577,,,
mpc-decrypt,200,,3,,,200,161542.048,0,161542.048,807.71024,,,
mpc-decrypt,200,,4,,,200,160442.152,0,160442.152,802.21076,,,
mpc-decrypt,200,,5,,,200,160937.922,0,160937.922,804.68961,,,
mpc-decrypt,200,,6,,,200,160774.268,0,160774.268,803.87134,,,
mpc-decrypt,200,,7,,,200,161008.36,0,161008.36,805.0418,,,
mpc-decrypt,200,,8,,,200,161520.417,0,161520.417,807.602085,,,
mpc-decrypt,200,,9,,,200,161468.25,0,161468.25,807.34125,,,
mpc-decrypt,200,,10,,,200,161363.088,0,161363.088,806.81544,,,
mpc-decrypt,300,,1,,,300,361404.525,0,361404.525,1204.68175,,,
mpc-decrypt,300,,2,,,300,362479.614,0,362479.614,1208.26538,,,
